ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
CHEMBL1085040;6844;Smallmolecule;None;-;1;Human;0;Functional;2;8.8;8.8;8.8;IC50;ChEMBL;466;6;2;3;6.2;C[C@H](NC(=O)c1cc(Cl)cc2ccn(Cc3cccc(Cl)c3)c12)c1ccc(C(=O)O)cc1
CHEMBL1085041;6845;Smallmolecule;None;-;1;Human;0;Functional;2;8.5;8.5;8.5;IC50;ChEMBL;450;6;2;3;5.7;C[C@H](NC(=O)c1cc(F)cc2ccn(Cc3cccc(Cl)c3)c12)c1ccc(C(=O)O)cc1
CHEMBL589973;194812;Smallmolecule;None;-;4;Human;19;Functional;1;4.4;4.4;4.4;Ki;ChEMBL;580;12;3;6;5.8;CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1
CHEMBL591431;195030;Smallmolecule;None;-;1;Human;0;Functional;3;8.7;8.7;8.7;IC50;ChEMBL;467;6;2;3;6.5;C[C@@H](NC(=O)c1c(Cl)sc(Cl)c1Cc1cccc(Cl)c1)c1ccc(C(=O)O)cc1
CHEMBL598198;196004;Smallmolecule;None;-;1;Human;0;Functional;3;8.6;8.6;8.6;IC50;ChEMBL;497;6;2;5;5.6;Cc1sc(C)c(C(=O)NC2(c3ccc(-c4nn[nH]n4)cc3)CC2)c1Cc1ccc(C(F)(F)F)cc1
CHEMBL599051;196140;Smallmolecule;None;-;1;Human;0;Functional;3;7.9;7.9;7.9;IC50;ChEMBL;399;6;2;3;5.2;C[C@H](NC(=O)c1cscc1Cc1cccc(Cl)c1)c1ccc(C(=O)O)cc1
CHEMBL599052;196141;Smallmolecule;None;-;1;Human;0;Functional;3;8.4;8.4;8.4;IC50;ChEMBL;467;6;2;3;6.5;C[C@H](NC(=O)c1c(Cl)sc(Cl)c1Cc1cccc(Cl)c1)c1ccc(C(=O)O)cc1
CHEMBL599262;196182;Smallmolecule;None;-;1;Human;0;Functional;3;8.3;8.3;8.3;IC50;ChEMBL;427;6;2;3;5.8;Cc1sc(C)c(C(=O)N[C@@H](C)c2ccc(C(=O)O)cc2)c1Cc1ccc(Cl)cc1
CHEMBL601299;196448;Smallmolecule;None;-;1;Human;0;Functional;3;8.8;8.8;8.8;IC50;ChEMBL;453;6;2;3;5.9;O=C(O)c1ccc(CNC(=O)c2c(Cl)sc(Cl)c2Cc2cccc(Cl)c2)cc1
CHEMBL603690;196809;Smallmolecule;None;-;1;Human;0;Functional;3;8.4;8.3;8.4;IC50;ChEMBL;461;6;2;3;6.2;Cc1sc(C)c(C(=O)N[C@@H](C)c2ccc(C(=O)O)cc2)c1Cc1ccc(C(F)(F)F)cc1
CHEMBL604546;196962;Smallmolecule;None;-;1;Human;0;Functional;3;8.1;8.1;8.1;IC50;ChEMBL;427;6;2;3;5.8;Cc1sc(C)c(C(=O)N[C@@H](C)c2ccc(C(=O)O)cc2)c1Cc1cccc(Cl)c1
CHEMBL605330;197110;Smallmolecule;None;-;1;Human;0;Functional;3;8.3;8.3;8.3;IC50;ChEMBL;461;6;2;3;6.2;Cc1sc(C)c(C(=O)N[C@@H](C)c2ccc(C(=O)O)cc2)c1Cc1cccc(C(F)(F)F)c1
CHEMBL1084009;6598;Smallmolecule;None;-;1;Human;9;Functional;5;8.0;8.5;8.9;IC50;ChEMBL;478;6;2;3;5.8;O=C(O)c1ccc(C2(NC(=O)c3cccc4ccn(Cc5ccc(C(F)(F)F)cc5)c34)CC2)cc1
CHEMBL1085081;6848;Smallmolecule;None;-;1;Human;0;Functional;4;8.2;8.2;8.2;IC50;ChEMBL;432;6;2;3;5.5;C[C@H](NC(=O)c1cccc2ccn(Cc3cccc(Cl)c3)c12)c1ccc(C(=O)O)cc1
